"","lon","lat"
"92",-49.826777,-24.1508529
"93",-42.3336313,-22.8636192
"94",-42.3336313,-22.8636192
"95",-49.4052251,-25.586431
"96",-49.4052251,-25.586431
"97",-46.9442412,-19.5906483
"98",-46.9442412,-19.5906483
"99",-46.9418639,-21.3654679
"100",-45.5401621,-20.2880715
"101",-45.5401621,-20.2880715
"102",-45.5401621,-20.2880715
"103",-46.1425066,-21.3576691
"104",-46.1425066,-21.3576691
"105",-43.1141413,-22.2318862
"106",-42.82957,-21.6087627
"107",-42.5557771,-17.8676658
"108",-42.5557771,-17.8676658
"109",-46.1047457,-15.9191976
"110",-46.1047457,-15.9191976
"111",-46.1047457,-15.9191976
"112",-41.889042,-22.7563906
"113",-41.889042,-22.7563906
"114",-42.0279869,-22.9657374
"115",-50.8464051,-23.3701577
"116",-50.8464051,-23.3701577
"117",-53.5144393,-24.4068962
"118",-53.5144393,-24.4068962
"119",-51.667263,-23.2323026
"120",-51.667263,-23.2323026
"121",-52.0555847,-23.1521951
"122",-44.2606305,-18.1086772
"123",-48.925516,-23.1072154
"124",-44.8878528,-21.9574833
"125",-44.8878528,-21.9574833
"126",-43.9573864,-19.290363
"127",-43.9573864,-19.290363
"128",-49.6295579,-25.5808612
"129",-49.6295579,-25.5808612
"130",-45.9758004,-20.0170948
"131",-46.3837858,-21.7312822
"132",-40.562538,-15.8787796
"133",-40.562538,-15.8787796
"134",-43.4826188,-19.9417097
"135",-43.7706811,-21.2219344
"136",-43.7706811,-21.2219344
"137",-53.632898,-26.2507099
"138",-52.2618826,-15.8916202
"139",-50.1846361,-23.1165207
"140",-43.8273373,-22.4720256
"141",-43.8273373,-22.4720256
"142",-43.0405743,-20.2873512
"143",-44.1772604,-22.5408519
"144",-44.1772604,-22.5408519
"145",-43.9724558,-21.1911467
"146",-43.9724558,-21.1911467
"147",-43.9724558,-21.1911467
"148",-43.0925696,-19.8306926
"149",-43.0925696,-19.8306926
"150",-51.1931385,-22.9941291
"151",-51.1931385,-22.9941291
"152",-43.3996264,-22.7645391
"153",-43.3996264,-22.7645391
"154",-43.4088331,-21.944485
"155",-43.4088331,-21.944485
"156",-43.9344931,-19.9166813
"157",-43.9344931,-19.9166813
"158",-43.9344931,-19.9166813
"159",-42.4831938,-19.2203866
"160",-42.4831938,-19.2203866
"161",-51.7176183,-22.9303783
"162",-41.7435867,-15.6104888
"163",-40.5803504,-17.0594809
"164",-44.2011904,-19.9673078
"165",-44.2011904,-19.9673078
"166",-44.2011904,-19.9673078
"167",-43.0563683,-21.7236567
"168",-43.0563683,-21.7236567
"169",-43.0563683,-21.7236567
"170",-51.5522886,-26.1612329
"171",-45.5629848,-21.092856
"172",-45.5629848,-21.092856
"173",-52.7880583,-24.2472139
"174",-52.7880583,-24.2472139
"175",-53.4074672,-25.4338346
"176",-43.8203177,-17.1114272
"177",-43.8203177,-17.1114272
"178",-45.2625908,-19.7390981
"179",-45.2625908,-19.7390981
"180",-44.1889854,-21.9483692
"181",-42.4257912,-22.1631542
